"Courses","Cours"
"Batches","Sessions"
"Certified Members","Membres certifiés"
"Jobs","Offres"
"Statistics","Statistiques"
"Programs","Programmes"
"Programming Exercises","Exercices de programmation"
"Assignments","Devoirs"
"Quizzes","Quiz"
"More","Plus"
"Expand","Développer"
"Collapse","Réduire"
"Help","Aide"
"Powered by Learning","Propulsé par Learning"
"Learning","Learning"
"Details","Détails"
"Assessments","Évaluations"
"Discussions","Discussions"
"People","Personnes"
"Certification","Certification"
"Course Outline","Plan du cours"
"Average Rating","Note moyenne"
"Enrolled Students","Étudiants inscrits"
"Zen Mode","Mode Zen"
"Video Statistics","Statistiques vidéo"
"This lesson is locked","Cette leçon est verrouillée"
"This lesson is not available for preview. Please enroll in the course to access it.","Cette leçon n’est pas disponible en aperçu. Veuillez vous inscrire au cours pour y accéder."
"Start Learning","Commencer l'apprentissage"
"Contact the Administrator to enroll for this course.","Contactez l’administrateur pour vous inscrire à ce cours."
"Login","Se connecter"
"completed","terminé"
"Previous","Précédent"
"Edit","Modifier"
"Next","Suivant"
"Back to Course","Retour au cours"
"Instructor Notes","Notes du formateur"
"Certification","Certification"
"You are already certified for this course. Click on the card below to open your certificate.","Vous êtes déjà certifié pour ce cours. Cliquez sur la carte ci-dessous pour ouvrir votre certificat."
"Issued On","Délivré le"
"Issued on","Délivré le"
"{0} Open Jobs","{0} offres ouvertes"
"New Job","Nouvelle offre"
"Search","Rechercher"
"Country","Pays"
"Type","Type"
"Full Time","Temps plein"
"Part Time","Temps partiel"
"Contract","Contrat"
"Freelance","Freelance"
"Jobs","Offres"
"No results found","Aucun résultat"
"Delete","Supprimer"
"Add Row","Ajouter une ligne"
"Add","Ajouter"
"Save","Enregistrer"
"Submit","Envoyer"
"Create","Créer"
"Post","Publier"
"No Recording","Pas d’enregistrement"
"Local","Local"
"Cloud","Cloud"
"PDF","PDF"
"Image","Image"
"Document","Document"
"Text","Texte"
"URL","URL"
"Quiz","Quiz"
"Assignment","Devoir"
"Programming Exercise","Exercice de programmation"
"Add a new member","Ajouter un nouveau membre"
"Add Evaluator","Ajouter un évaluateur"
"Evaluator added successfully","Évaluateur ajouté avec succès"
"Evaluator deleted successfully","Évaluateur supprimé avec succès"
"Email","Adresse e-mail"
"First Name","Prénom"
"Load More","Charger plus"
"Student","Étudiant"
"Moderator","Modérateur"
"Evaluator","Évaluateur"
"Mark all as read","Tout marquer comme lu"
"Unread","Non lus"
"Read","Lus"
"View","Voir"
"Nothing to see here.","Rien à afficher."
"Not Permitted","Non autorisé"
"You are not a member of this batch. Please checkout our upcoming batches.","Vous n’êtes pas membre de cette session. Veuillez consulter nos sessions à venir."
"Please login to access this page.","Veuillez vous connecter pour accéder à cette page."
"Upcoming Batches","Sessions à venir"
"Assignment","Devoir"
"Member","Membre"
"Submitted","Soumis"
"Status","Statut"
"Pass","Réussi"
"Fail","Échoué"
"Not Graded","Non noté"
"No submissions","Aucune soumission"
"There are no submissions for this assignment.","Il n’y a aucune soumission pour ce devoir."
"You will have to complete the quiz to continue the video","Vous devrez terminer le quiz pour continuer la vidéo"
"This quiz consists of {0} questions.","Ce quiz comporte {0} questions."
"Please ensure that you complete all the questions in {0} minutes.","Veuillez vous assurer de terminer toutes les questions en {0} minutes."
"If you fail to do so, the quiz will be automatically submitted when the timer ends.","À défaut, le quiz sera automatiquement soumis à la fin du minuteur."
"You will have to get {0}% correct answers in order to pass the quiz.","Vous devrez obtenir {0}% de bonnes réponses pour réussir le quiz."
"You can attempt this quiz {0}.","Vous pouvez tenter ce quiz {0}."
"Time","Temps"
"Start the Quiz","Commencer le quiz"
"Start","Démarrer"
"Resume Video","Reprendre la vidéo"
"You have already exceeded the maximum number of attempts allowed for this quiz.","Vous avez déjà dépassé le nombre maximal de tentatives autorisées pour ce quiz."
"Question {0}","Question {0}"
"Mark","Point"
"Marks","Points"
"Question {0} of {1}","Question {0} sur {1}"
"Check","Vérifier"
"Submit","Soumettre"
"Next","Suivant"
"Quiz Summary","Récapitulatif du quiz"
"Your submission has been successfully saved. The instructor will review and grade it shortly, and you'll be notified of your final result.","Votre soumission a bien été enregistrée. Le formateur l’examinera et la notera prochainement ; vous serez informé du résultat final."
"You got {0}% correct answers with a score of {1} out of {2}","Vous avez {0}% de bonnes réponses avec un score de {1} sur {2}"
"Try Again","Réessayer"
"No Quiz submissions found","Aucune soumission de quiz trouvée"
"Choose all answers that apply","Choisissez toutes les réponses correctes"
"Choose one answer","Choisissez une réponse"
"Type your answer","Saisissez votre réponse"
"Please select an option","Veuillez sélectionner une option"
"Correct","Correct"
"Incorrect","Incorrect"
"Settings","Paramètres"
"Programming Exercises","Exercices de programmation"
"Certified Members","Membres certifiés"
"Statistics","Statistiques"
"Meta Description","Méta‑description"
"Meta Keywords","Mots‑clés"
"Meta Image","Image méta"
"This site is being updated. You will not be able to make any changes. Full access will be restored shortly.","Ce site est en cours de mise à jour. Vous ne pourrez pas effectuer de modifications. L’accès complet sera rétabli sous peu."
"Introduction","Introduction"
"Setting up","Mise en place"
"Creating a course","Créer un cours"
"Create a course","Créer un cours"
"Add a chapter","Ajouter un chapitre"
"Add a lesson","Ajouter une leçon"
"Creating a batch","Créer une session"
"Create a batch","Créer une session"
"Create a live class","Créer un cours en direct"
"Assessments","Évaluations"
"Quizzes","Quiz"
"Assignments","Devoirs"
"Certification","Certification"
"Issue a Certificate","Émettre un certificat"
"Custom Certificate Templates","Modèles de certificat personnalisés"
"Monetization","Monétisation"
"Setting up payment gateway","Configuration de la passerelle de paiement"
"Roles","Rôles"
"Create your first course","Créez votre premier cours"
"Add your first chapter","Ajoutez votre premier chapitre"
"Add your first lesson","Ajoutez votre première leçon"
"Create your first quiz","Créez votre premier quiz"
"Invite your team and students","Invitez votre équipe et vos étudiants"
"Create your first batch","Créez votre première session"
"Add students to your batch","Ajoutez des étudiants à votre session"
"Add courses to your batch","Ajoutez des cours à votre session"
"Only image file is allowed.","Seuls les fichiers image sont autorisés."
"Failed to update meta tags {0}","Échec de la mise à jour des méta‑balises {0}"
"Courses deleted successfully","Cours supprimés avec succès"
"No courses added","Aucun cours ajouté"
"Course","Cours"
"All Courses","Tous les cours"
"Instructors","Formateurs"
"Completed","Terminé"
"Enrolled","Inscrits"
"Get Certified","Obtenir la certification"
"Reviews","Avis"
"Write a review","Rédiger un avis"
"Review the course","Évaluer le cours"
"Help us improve our course material.","Aidez-nous à améliorer le contenu du cours."
"Add Chapter","Ajouter un chapitre"
"Add Lesson","Ajouter une leçon"
"Questions","Questions"
"Notify me when available","Me prévenir lorsqu’il sera disponible"
"Continue Learning","Continuer l’apprentissage"
"Get Certificate","Obtenir le certificat"
"Slots","Créneaux"
"This lesson is not available for preview. Please join the course to access it.","Cette leçon n’est pas disponible en aperçu. Veuillez rejoindre le cours pour y accéder."
"Cancel","Annuler"
"others","autres"
"Course List","Liste des cours"
"Headline","Titre"
"Upcoming","À venir"
"Live","En direct"
"Created","Créé"
"Category","Catégorie"
"Search by Title","Rechercher par titre"
"Generate Certificates","Générer les certificats"
"Make an Announcement","Faire une annonce"
"About this batch","À propos de cette session"
"Create a Live Class","Créer un cours en direct"
"Title","Titre"
"Date","Date"
"Duration of the live class in minutes","Durée du cours en direct en minutes"
"Duration","Durée"
"Time","Heure"
"Timezone","Fuseau horaire"
"Auto Recording","Enregistrement automatique"
"Description","Description"
"Please enter a title.","Veuillez saisir un titre."
"Please select a date.","Veuillez sélectionner une date."
"Please select a time.","Veuillez sélectionner une heure."
"Please select a timezone.","Veuillez sélectionner un fuseau horaire."
"Please enter a valid time in the format HH:mm.","Veuillez saisir une heure valide au format HH:mm."
"Please select a future date and time.","Veuillez sélectionner une date et une heure futures."
"Please select a duration.","Veuillez sélectionner une durée."
"Create an Assignment","Créer un devoir"
"Edit Assignment","Modifier le devoir"
"Submission Type","Type de soumission"
"Question","Question"
"Check Submissions","Voir les soumissions"
"Assignment created successfully","Devoir créé avec succès"
"Assignment updated successfully","Devoir mis à jour avec succès"
"Add an assessment","Ajouter une évaluation"
"Assessment","Évaluation"
"Assessment added successfully","Évaluation ajoutée avec succès"
"Discard","Annuler"
"Submission by","Soumission par"
"Submission","Soumission"
"Not Saved","Non enregistré"
"Feel free to make edits to your submission if needed.","N’hésitez pas à modifier votre soumission si nécessaire."
"Add your assignment as {0}","Ajoutez votre devoir en tant que {0}"
"Uploading {0}%","Téléversement {0}%"
"Upload File","Téléverser un fichier"
"Enter a URL","Saisir une URL"
"Write your answer here","Écrivez votre réponse ici"
"Comments by Evaluator","Commentaires de l’évaluateur"
"Grading","Notation"
"Grade","Note"
"Comments","Commentaires"
"Assignment submitted successfully","Devoir soumis avec succès"
"Students","Étudiants"
"Certified","Certifiés"
"Batch Summary","Récapitulatif de la session"
"Progress of students in courses and assessments","Progression des étudiants dans les cours et évaluations"
"Number of Students","Nombre d’étudiants"
"There are no students in this batch.","Il n’y a aucun étudiant dans cette session."
"Students deleted successfully","Étudiants supprimés avec succès"
"No Assessments","Aucune évaluation"
"Status/Percentage","Statut/Pourcentage"
"Create a Quiz","Créer un quiz"
"No Quizzes","Aucun quiz"
"Published Courses","Cours publiés"
"Active Members","Membres actifs"
"Course Enrollments","Inscriptions aux cours"
"Course Completions","Cours terminés"
"Add Chapter","Ajouter un chapitre"
"Add Lesson","Ajouter une leçon"
"Login to Frappe Cloud?","Se connecter à Frappe Cloud ?"
"Are you sure you want to login to your Frappe Cloud dashboard?","Voulez‑vous vraiment vous connecter à votre tableau de bord Frappe Cloud ?"
"Confirm","Confirmer"
"New","Nouveau"
"Edit Profile","Modifier le profil"
"About","À propos"
"Certificates","Certificats"
"Roles","Rôles"
"Assignment Submissions","Soumissions de devoirs"
"Login to Frappe Cloud","Se connecter à Frappe Cloud"
"Login to Frappe Cloud?","Se connecter à Frappe Cloud ?"
"Are you sure you want to login to your Frappe Cloud dashboard?","Voulez‑vous vraiment vous connecter à votre tableau de bord Frappe Cloud ?"
"Log out","Se déconnecter"
"Log in","Se connecter"
"Problem Statement","Énoncé du problème"
"Run","Exécuter"
"Compiler Message","Message du compilateur"
"Test Cases","Cas de test"
"Test {0}","Test {0}"
"Input","Entrée"
"Your Output","Votre sortie"
"Expected Output","Sortie attendue"
"Please run the code to execute the test cases.","Veuillez exécuter le code pour lancer les cas de test."
"Check All Submissions","Voir toutes les soumissions"
"Check Submission","Voir la soumission"
"Program Courses","Cours du programme"
"Program Members","Membres du programme"
"ID","ID"
"Full Name","Nom complet"
"Progress (%)","Progression (%)"
"Name","Nom"
